Cancion;Nombre Album;Artista;Fecha de lanzamiento;Codigo de grabacion;Ranking historico;Spotify Streams;Spotify Playlist Count;Busquedas en Spotify;Spotify Popularity;YouTube Views;YouTube Likes;TikTok Posts;TikTok Likes;TikTok Views;YouTube Playlist Reach;Apple Music Playlist Count;Amazon Playlist Count;Soundcloud Streams;;;;;
Panda Basi;Panda Basi - EP;Mvua;2/10/23;GX3Q92333626;52;104,271;249;8,585;25;2,457,026,781;;190;36,666;393,58;;;;;;;;;
Calm Down (with Selena Gomez);Calm Down (with Selena Gomez);Rema;8/25/2022;NGA3B2214021;53;1,391,688,322;163,876;130,963,116;77;902,742,581;8,099,187;599;48,035;2,857,920;750,030,685;316;146;5,820,026;;;;;
Shape of You;Shape of You;Ed Sheeran;1/6/17;GBAHS1600463;54;3,909,458,734;316,378;148,037,882;80;8,013,997,219;45,770,887;2,270,315;194,420,058;2,320,856,331;2,294,804,623;465;115;78,149,375;;;;;
Mitu;Mitu - Single;Maian;1/19/2023;EEUM72300001;55;55,346;42;16,861;13;2,432,265,978;8,162,101;;;;;;;;;;;;
Blinding Lights;Blinding Lights;The Weeknd;11/29/2019;USUG11904206;56;4,281,468,720;590,392;165,544,011;83;833,807,130;10,093,211;2,882,064;337,322,563;3,501,177,394;2,258,085,924;859;184;28,659,471;;;;;
Creepin' (with The Weeknd & 21 Savage);HEROES & VILLAINS;Metro Boomin;12/2/22;USUG12208791;57;1,337,619,917;228,295;64,806,723;80;193,982,443;2,023,998;423,714;148,085,419;1,268,862,678;444,033,037;152;66;;;;;;
Dona Felicidade;Dona Felicidade;Patati Patatï¿;6/4/24;QZNJW2423715;58;;2;41,206;;52,480,069;82,092;;;;;;;;;;;;
Danza Kuduro - Cover;YOUGAKU MORIMORI CLUB MEDLEY;MUSIC LAB JPN;4/29/2024;TCJPA2420090;59;1,655,575,417;1;3;;;;;;;;;;;;;;;
Unholy (feat. Kim Petras);Unholy (feat. Kim Petras);Sam Smith;9/22/2022;GBUM72205415;60;1,556,275,789;210,583;95,974,138;74;254,051,906;3,364,206;2,379,787;683,088,623;7,945,975,878;1,524,133,775;203;167;10,424,892;;;;;
Stereo Love - Melodic;Stereo Love Deluxe (feat. Vika Jigulina);Edward Maya;6/5/24;ROCMA2413380;61;;2;135;9;;;;;;;;;;;;;;
Very Cute Melody by Marimba Tone (39813);Very Cute Melody by Marimba Tone (39813);mitsu sound;12/31/2023;RUA1H2406425;62;1,384;2;801;;222,076;5,43;5,013,500;605,320,683;8,811,416,708;;;;;;;;;
Supernova;Supernova;aespa;5/13/2024;KRA302400090;63;69,729,033;2,483;21,046,278;81;111,310,770;1,724,693;56,6;61,038,623;393,973,528;32,059,104;40;14;255,951;;;;;
Me Porto Bonito;Un Verano Sin Ti;Bad Bunny;5/6/22;QM6MZ2214877;64;1,811,990,630;173,358;67,603,671;79;1,516,863,120;8,870,768;4,506,600;549,886,060;6,470,937,272;934,894,575;124;63;;;;;;
Back That Azz Up (feat. Lil Wayne & Mannie Fresh);400 Degreez (Deluxe Edition);JUVENILE;3/29/2024;USCM52400059;65;199,929,812;4;98;;;;;;;;1;;;;;;;
Calm Down;Calm Down;Rema;2/10/22;NGA3B2214004;66;584,427,088;182,994;19,203,258;68;1,141,904,909;8,766,235;6,129,450;856,216,952;18,216,656,774;2,952,879,912;138;45;14,668,216;;;;;
CARNIVAL;CARNIVAL;ýý$;2/8/24;QZ7XS2400012;67;466,887,055;53,842;103,935,623;84;27,688,666;449,112;;;;33,817,299;42;29;11,703,609;;;;;
Kill Bill;SOS;SZA;12/8/22;USRC12204584;68;1,873,746,537;190,202;99,546,318;82;220,538,045;3,153,793;266,43;152,410,048;1,284,413,960;426,461,749;214;122;16,992,932;;;;;
"What Was I Made For? [From The Motion Picture ""Barbie""]";"What Was I Made For? (From The Motion Picture ""Barbie"")";Billie Eilish;7/13/2023;USUM72307484;69;891,720,245;114,56;97,542,546;82;144,741,616;2,761,964;1,443,103;498,822,693;3,998,086,216;1,384,310,160;168;111;5,418,596;;;;;
Babba;Black Book ID's: Chapter 5 - EP;Guy Mac;3/3/23;QZA742305720;70;46,567;252;21,93;6;2,038,459,981;6,076,902;;;;;2;;;;;;;
Heat Waves;Heat Waves;Glass Animals;6/29/2020;GBUM72000433;71;2,996,181,078;486,278;112,416,489;82;1,272,898,075;14,947,520;1,416,295;513,334,446;5,518,429,969;4,899,313,022;459;95;;;;;;
In the End;Papercuts;Linkin Park;4/12/24;USWB11201322;72;2,045,512,421;97;488,602;;;;;;;;;2;;;;;;
Shakira: Bzrp Music Sessions; Vol. 53;Shakira: Bzrp Music Sessions, Vol. 53;Bizarrap;1/11/23;UYB282301031;174.3;946,941,510;100,13;74,836,321;74;776,436,101;12,951,756;4,210,895;797,017,650;11,936,401,096;457,987,382;4,971,379;10,225;0;;;;
The Way We Move - Extended Mix;The Way We Move;PowerDress;3/10/23;UKACT2330463;74;7,909;38;15,023;4;1,999,374,091;5,708,577;;;;;;;;;;;;
Old Town Road;Old Town Road;Lil Nas X;3/14/2019;USSM11901941;75;1,010,494,713;127,393;18,652,312;67;3,203,314,695;41,487,213;5,757,883;187,301,054;1,981,431,049;939,714,925;63;100;106,880,548;;;;;
un x100to;un x100to;Grupo Frontera;4/17/2023;QM6N22311285;76;1,008,495,696;99,381;57,394,938;75;878,892,413;4,425,283;796,603;127,651,887;1,669,065,906;1,522,934,425;101;81;;;;;;
Laxed ï¿½ï¿½ï¿½ Sire;Laxed (Siren Beat);Jawsh 685;4/24/2020;NZAM02001128;77;;10,23;1,142,937;;12,489,728;339,414;42,900,000;919,945,708;12,221,514,692;;;;;;;;;
Sprinter;Sprinter - Single;Dave;6/1/23;GBUM72305159;78;692,512,930;199,828;55,464,762;78;219,666,692;2,332,307;731,797;130,560,533;1,254,944,697;918,145,630;155;76;12,405,917;;;;;
CHIHIRO;HIT ME HARD AND SOFT;Billie Eilish;5/17/2024;USUM72401988;79;169,410,711;11,028;144,854,768;90;19,402,457;997,411;284;;;260,377,114;185;59;1,680,434;;;;;
TQG;TQG;KAROL G;2/23/2023;USUM72222541;80;1,024,381,758;78,554;69,319,589;78;1,102,289,596;8,953,293;457,111;15,048,444;248,168,852;1,174,053,183;138;131;164,895;;;;;
Perfect;ýý (Deluxe);Ed Sheeran;3/3/17;GBAHS1700024;81;2,969,999,682;280,165;116,921,604;81;6,473,698,897;39,632,673;6,642,975;601,244,764;7,647,479,866;1,708,317,539;208;102;;;;;;
Pepas;Pepas;Farruko;6/24/2021;USSD12100307;82;1,500,499,584;359,502;125,112,486;74;1,431,591,689;11,553,088;2,866,181;290,811,371;4,067,248,819;782,475,986;258;102;6,227;;;;;
Peekaboo;Glide - Single;Dave Angel;1/27/2023;GBLTF2300027;83;8,082;63;32,758;;2,055,940,513;4,150,967;;;;;1;;;;;;;
